event,file,record,utc,day,SC_TWTA_On_Flag,voltage,scm,native_r0,envelope_r0,envelope_peak_r,scm_lag_ms,weighted_coherence_raw,weighted_coherence_outside_lines,masked_cross_spectral_weight_fraction,scm_power_remaining_fraction,peak_coherence_outside_lines,peak_coherence_frequency_hz,longest_coherent_run_hz,flags
3125,psp_fld_l2_tds_wf_20250317_v00.cdf,84,2025-03-17T20:17:39.048900000,20250317,0,V1V2,SCM4,-0.10532691836112518,0.0361527288467145,-0.2758591682815158,0.3333333333333333,0.6770601477635234,0.07651043502665685,0.7043635432934067,0.0926595365145101,0.5526610759031358,425156.25,0.0,no threshold crossed
3125,psp_fld_l2_tds_wf_20250317_v00.cdf,84,2025-03-17T20:17:39.048900000,20250317,0,V3V4,SCM4,-0.034407854294905865,0.05396950869319517,-0.21722504856228952,0.3333333333333333,0.5462455841916435,0.08092897611854759,0.538843870826881,0.09293165929110134,0.4832286631230998,772500.0,0.0,no threshold crossed
3126,psp_fld_l2_tds_wf_20250317_v00.cdf,85,2025-03-17T20:28:37.083014000,20250317,0,V2,SCM4,-0.27867724244191994,0.03636644300864508,-0.08217936026998789,-0.6666666666666666,0.891112804674654,0.05931197123863359,0.8971554359023647,0.01946503545553165,0.7064794638624743,824062.5,468.75,persistent-line dominated coherence
3126,psp_fld_l2_tds_wf_20250317_v00.cdf,85,2025-03-17T20:28:37.083014000,20250317,0,V5,SCM4,0.19810059878570602,-0.05915442349754507,0.13824099341249682,-0.4666666666666667,0.9454441598893639,0.06700953535166623,0.9522553276963652,0.01949283766649038,0.44370011826631395,100312.5,0.0,persistent-line dominated coherence
3126,psp_fld_l2_tds_wf_20250317_v00.cdf,85,2025-03-17T20:28:37.083014000,20250317,0,V1V2,SCM4,0.08199621103333987,0.042898572594425394,-0.09918568624230029,-0.6666666666666666,0.7801940911501365,0.06005815521882866,0.7851566562866015,0.01946503545553165,0.5446227666140253,850781.25,0.0,no threshold crossed
3126,psp_fld_l2_tds_wf_20250317_v00.cdf,85,2025-03-17T20:28:37.083014000,20250317,0,V3V4,SCM4,0.02822376052143532,0.04361494938084859,-0.1059087068023179,-0.6666666666666666,0.7638313670464564,0.05449334771566287,0.7628588232622817,0.01953720838306762,0.5289548784803487,426093.75,0.0,no threshold crossed
3127,psp_fld_l2_tds_wf_20250317_v00.cdf,86,2025-03-17T21:10:19.694601000,20250317,0,V2,SCM4,-0.5289167566032854,-0.018465491223495816,-0.16902856282551654,1.0666666666666667,0.9515515845971013,0.0696447839455414,0.9563309820432865,0.009147305585572892,0.7684103179770028,824062.5,468.75,waveform correlation; persistent-line dominated coherence
3127,psp_fld_l2_tds_wf_20250317_v00.cdf,86,2025-03-17T21:10:19.694601000,20250317,0,V5,SCM4,-0.07940170588550309,-0.0027314576144180022,0.12062810671735723,-0.13333333333333333,0.9630694095556063,0.07569978510096063,0.9663226623242701,0.00916006453199146,0.5722673411230427,862968.75,0.0,persistent-line dominated coherence
3127,psp_fld_l2_tds_wf_20250317_v00.cdf,86,2025-03-17T21:10:19.694601000,20250317,0,V1V2,SCM4,0.22001914492741215,-0.055907123745531626,-0.12658145385609573,1.0,0.8817441960469317,0.07023980442795093,0.8928955712843476,0.009147305585572892,0.5188173387020037,567187.5,0.0,persistent-line dominated coherence
3127,psp_fld_l2_tds_wf_20250317_v00.cdf,86,2025-03-17T21:10:19.694601000,20250317,0,V3V4,SCM4,0.002476340923493126,-0.018720008287773232,-0.12133413004927848,0.3333333333333333,0.8475894324602398,0.07371024378050066,0.8510207025698959,0.009183005173862087,0.4139242275903281,708281.25,0.0,persistent-line dominated coherence
3128,psp_fld_l2_tds_wf_20250317_v00.cdf,87,2025-03-17T21:10:19.711691000,20250317,0,V2,SCM4,-0.537214604771878,-0.01290030025745683,0.18403191568515576,0.3333333333333333,0.9529438179672599,0.07702987659414036,0.9571915855105408,0.009366699913340095,0.7837990741761256,824062.5,468.75,waveform correlation; persistent-line dominated coherence
3128,psp_fld_l2_tds_wf_20250317_v00.cdf,87,2025-03-17T21:10:19.711691000,20250317,0,V5,SCM4,-0.12312593300705138,0.07261513326128444,-0.23064236079278083,-0.13333333333333333,0.9627353973178734,0.06846728672719135,0.9660411885697587,0.009383554111864326,0.4402045117902698,848906.25,0.0,persistent-line dominated coherence
3128,psp_fld_l2_tds_wf_20250317_v00.cdf,87,2025-03-17T21:10:19.711691000,20250317,0,V1V2,SCM4,0.22636795209811203,-0.024700400892039412,0.2601295920872064,-0.2,0.887252485380806,0.07885476113278536,0.8971011188095195,0.009366699913340095,0.6140770602259867,553593.75,468.75,persistent-line dominated coherence
3128,psp_fld_l2_tds_wf_20250317_v00.cdf,87,2025-03-17T21:10:19.711691000,20250317,0,V3V4,SCM4,-0.012941235960330968,0.055098052369952945,0.2252000010268871,0.26666666666666666,0.861214986103745,0.08165839207283812,0.8646696355589147,0.009404927405285172,0.40765842436634353,436875.0,0.0,persistent-line dominated coherence
3129,psp_fld_l2_tds_wf_20250317_v00.cdf,88,2025-03-17T22:18:27.706486000,20250317,0,V2,SCM4,-0.389584047968449,-0.12974054833987736,-0.22653530194968996,-0.5333333333333333,0.9282338228357971,0.08567740463875234,0.9337958788831007,0.011821072232938074,0.5386400262033801,824062.5,0.0,persistent-line dominated coherence
3129,psp_fld_l2_tds_wf_20250317_v00.cdf,88,2025-03-17T22:18:27.706486000,20250317,0,V5,SCM4,-0.39204661060992096,0.03630927162873444,-0.10159910121248292,-0.4666666666666667,0.9576265234494794,0.07080449119516727,0.9622449463919983,0.011846775970661002,0.49632506185545067,708281.25,0.0,persistent-line dominated coherence
3129,psp_fld_l2_tds_wf_20250317_v00.cdf,88,2025-03-17T22:18:27.706486000,20250317,0,V1V2,SCM4,0.25381690560100567,-0.11690151872364027,-0.13311662210309472,-0.5333333333333333,0.880855010824002,0.08034901748898048,0.8953227923072127,0.011821072232938074,0.5785708296893856,850312.5,0.0,persistent-line dominated coherence
3129,psp_fld_l2_tds_wf_20250317_v00.cdf,88,2025-03-17T22:18:27.706486000,20250317,0,V3V4,SCM4,-0.0508845365030649,-0.11477714233336372,-0.15336457379039448,-0.6,0.7965673075466692,0.10563991643255308,0.790463907133192,0.011844461027463686,0.49912983337789424,862968.75,0.0,no threshold crossed
3130,psp_fld_l2_tds_wf_20250317_v00.cdf,89,2025-03-17T22:20:15.444911000,20250317,0,V2,SCM4,0.04663449450084098,-0.19274719663715772,-0.2303544259956835,-0.06666666666666667,0.8108763700261868,0.07182909154274163,0.8257546425770712,0.0918461869537774,0.6694471070021293,708750.0,468.75,persistent-line dominated coherence
3130,psp_fld_l2_tds_wf_20250317_v00.cdf,89,2025-03-17T22:20:15.444911000,20250317,0,V5,SCM4,0.4390585956376084,-0.01119558023286515,-0.12781346963451706,-1.0666666666666667,0.8891496337175807,0.07595195084855623,0.9053864049149821,0.09203556252446166,0.4678711737080977,594843.75,0.0,persistent-line dominated coherence
3130,psp_fld_l2_tds_wf_20250317_v00.cdf,89,2025-03-17T22:20:15.444911000,20250317,0,V1V2,SCM4,-0.0755472178059905,-0.1119731768627712,-0.16844890929587783,-0.06666666666666667,0.7063223756469399,0.07348289129308054,0.7280759395675446,0.0918461869537774,0.4434946778482746,836718.75,0.0,no threshold crossed
3130,psp_fld_l2_tds_wf_20250317_v00.cdf,89,2025-03-17T22:20:15.444911000,20250317,0,V3V4,SCM4,0.04118764322690352,-0.16495388865545174,-0.21870164934579733,-0.06666666666666667,0.4890328223998177,0.07601030930014543,0.4714016418103487,0.09215574226986553,0.45549335851401257,220312.5,0.0,no threshold crossed
